model,model_display,train_pct,retrieval_size,top_k,n_seeds,balanced_mean,balanced_std,balanced_sem,balanced_ci95_low,balanced_ci95_high,accuracy_mean,accuracy_std,accuracy_sem,chance_accuracy,balanced_mean_x_chance
eeg_from_scratch,Checkpoint EEG desde cero,1.0,50,10,1,0.6125749749690295,nan,nan,nan,nan,0.6427537798881531,nan,nan,0.2,3.0628748748451473
eeg_pretrained,Checkpoint EEG preentrenado,1.0,50,10,1,0.6120679547637701,nan,nan,nan,nan,0.6251932978630066,nan,nan,0.2,3.0603397738188503
random_init,Arquitectura aleatoria,1.0,50,10,1,0.2,nan,nan,nan,nan,0.24928909540176392,nan,nan,0.2,1.0
eeg_from_scratch,Checkpoint EEG desde cero,1.0,250,10,1,0.2094646227453743,nan,nan,nan,nan,0.42169275879859924,nan,nan,0.04,5.236615568634358
eeg_pretrained,Checkpoint EEG preentrenado,1.0,250,10,1,0.20691744139971766,nan,nan,nan,nan,0.40917497873306274,nan,nan,0.04,5.172936034992941
random_init,Arquitectura aleatoria,1.0,250,10,1,0.04054054054054054,nan,nan,nan,nan,0.1432432383298874,nan,nan,0.04,1.0135135135135136
